ID,Institución,Trámite,URL,URL Catálogo
575,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Toma de Muestras y análisis de agua residual,https://amsa.gob.gt/?page_id=2492,https://tramites.gob.gt/servicio/575/
576,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Toma de muestras y análisis de agua potable,https://amsa.gob.gt/?page_id=2462,https://tramites.gob.gt/servicio/576/
577,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Toma de muestras y determinación de metales pesados,https://amsa.gob.gt/?page_id=2507,https://tramites.gob.gt/servicio/577/
578,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,"Venta de Plantas Forestales, ornamentales y frutales",https://amsa.gob.gt/?page_id=2601,https://tramites.gob.gt/servicio/578/
579,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,"Donación de Plantas Forestales, ornamentales y frutales",https://amsa.gob.gt/?page_id=2571,https://tramites.gob.gt/servicio/579/
580,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Disposición final de desechos sólidos comunes,https://amsa.gob.gt/?page_id=2514,https://tramites.gob.gt/servicio/580/
581,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Disposición final de mercadería a destruir,https://amsa.gob.gt/?page_id=2552,https://tramites.gob.gt/servicio/581/
582,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Venta de residuos sólidos urbanos en general con báscula,Pendiente,https://tramites.gob.gt/servicio/582/
583,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Venta de residuos sólidos urbanos en general sin báscula,Pendiente,https://tramites.gob.gt/servicio/583/
584,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,"Disposición final de arcilla, selecto, ceniza, ripio, productos inorgánicos, tierra producto de excavación, roca y sus derivados",Pendiente,https://tramites.gob.gt/servicio/584/
585,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Disposición final de lodos y aguas servidas procedentes de fosas sépticas y drenajes en cisternas a vertedero km 22 CA9 y plantas de tratamiento de AMSA,Pendiente,https://tramites.gob.gt/servicio/585/
586,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Disposición final de desechos biológicos sin necesidad de incineración,Pendiente,https://tramites.gob.gt/servicio/586/
587,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Disposición final de desechos peligrosos contaminantes,Pendiente,https://tramites.gob.gt/servicio/587/
588,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Cobro por exceso de tiempo de descarga de desechos sólidos en vertedero,Pendiente,https://tramites.gob.gt/servicio/588/
589,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Venta de lixiviados y agua tratada por plantas de tratamiento,Pendiente,https://tramites.gob.gt/servicio/589/
590,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Impresión de planos,Pendiente,https://tramites.gob.gt/servicio/590/
591,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Puntos de localización geodésica,Pendiente,https://tramites.gob.gt/servicio/591/
592,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Cursos,Pendiente,https://tramites.gob.gt/servicio/592/
593,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Dictámenes técnicos de todas las divisiones,Pendiente,https://tramites.gob.gt/servicio/593/
594,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Venta de árboles forestales en vivero en bosa,Pendiente,https://tramites.gob.gt/servicio/594/
595,Autoridad para el Manejo Sustentable de la Cuenca del Lago de Amatilán  -AMSA-,Venta de árboles forestales en bandeja,Pendiente,https://tramites.gob.gt/servicio/595/
